rank,city,,price,Id,PageUrl
1,深圳,Shenzhen,"50,842",1,http://www.cityhouse.cn/default/forsalerank.html
11,温州,Wenzhou,"17,303",11,http://www.cityhouse.cn/default/forsalerank.html
21,舟山,Zhoushan,"11,269",21,http://www.cityhouse.cn/default/forsalerank.html
2,北京,Beijing,"47,619",2,http://www.cityhouse.cn/default/forsalerank.html
12,福州,Fuzhou,"16,136",12,http://www.cityhouse.cn/default/forsalerank.html
22,济南,Jinan,"11,182",22,http://www.cityhouse.cn/default/forsalerank.html
3,上海,Shanghai,"43,052",3,http://www.cityhouse.cn/default/forsalerank.html
13,陵水,Lingshui,"15,513",13,http://www.cityhouse.cn/default/forsalerank.html
23,东莞,Dongguan,"11,139",23,http://www.cityhouse.cn/default/forsalerank.html
4,厦门,Xiamen,"32,537",4,http://www.cityhouse.cn/default/forsalerank.html
14,苏州,Suzhou,"15,313",14,http://www.cityhouse.cn/default/forsalerank.html
24,台州,Taizhou,"10,699",24,http://www.cityhouse.cn/default/forsalerank.html
5,南京,Nanjing,"21,695",5,http://www.cityhouse.cn/default/forsalerank.html
15,廊坊,Langfang,"13,132",15,http://www.cityhouse.cn/default/forsalerank.html
6,广州,Canton,"21,443",6,http://www.cityhouse.cn/default/forsalerank.html
25,金华,Jinhua,"10,542",25,http://www.cityhouse.cn/default/forsalerank.html
16,丽水,Lishui,"12,706",16,http://www.cityhouse.cn/default/forsalerank.html
26,郑州,Zhengzhou,"10,401",26,http://www.cityhouse.cn/default/forsalerank.html
7,杭州,Hangzhou,"19,386",7,http://www.cityhouse.cn/default/forsalerank.html
17,宁波,Ningbo,"12,507",17,http://www.cityhouse.cn/default/forsalerank.html
8,珠海,Zhuhai,"18,948",8,http://www.cityhouse.cn/default/forsalerank.html
27,大连,Dalian,"10,076",27,http://www.cityhouse.cn/default/forsalerank.html
18,合肥,Hefei,"12,476",18,http://www.cityhouse.cn/default/forsalerank.html
9,天津,Tianjin,"18,887",9,http://www.cityhouse.cn/default/forsalerank.html
19,武汉,Wuhan,"11,991",19,http://www.cityhouse.cn/default/forsalerank.html
28,石家庄,Shijiazhuang,"9,601",28,http://www.cityhouse.cn/default/forsalerank.html
20,青岛,Qingdao,"11,938",20,http://www.cityhouse.cn/default/forsalerank.html
10,三亚,Sanya,"17,659",10,http://www.cityhouse.cn/default/forsalerank.html
29,莆田,Putian,"9,301",29,http://www.cityhouse.cn/default/forsalerank.html
31,兰州,Lanzhou,"8,842",31,http://www.cityhouse.cn/default/forsalerank.html
30,南昌,Nanchang,"9,064",30,http://www.cityhouse.cn/default/forsalerank.html
32,绍兴,Shaoxing,"8,806",32,http://www.cityhouse.cn/default/forsalerank.html
41,保定,Baoding,"8,128",41,http://www.cityhouse.cn/default/forsalerank.html
33,南通,Nantong,"8,398",33,http://www.cityhouse.cn/default/forsalerank.html
42,泉州,Quanzhou,"7,990",42,http://www.cityhouse.cn/default/forsalerank.html
34,漳州,Zhangzhou,"8,352",34,http://www.cityhouse.cn/default/forsalerank.html
43,衢州,Quzhou,"7,971",43,http://www.cityhouse.cn/default/forsalerank.html
35,乐东,Ledong,"8,321",35,http://www.cityhouse.cn/default/forsalerank.html
44,扬州,Yangzhou,"7,970",44,http://www.cityhouse.cn/default/forsalerank.html
36,佛山,Foshan,"8,318",36,http://www.cityhouse.cn/default/forsalerank.html
45,龙岩,Longyan,"7,952",45,http://www.cityhouse.cn/default/forsalerank.html
37,昆明,Kunming,"8,284",37,http://www.cityhouse.cn/default/forsalerank.html
46,万宁,Wanning,"7,857",46,http://www.cityhouse.cn/default/forsalerank.html
38,无锡,Wuxi,"8,256",38,http://www.cityhouse.cn/default/forsalerank.html
47,保亭,Baoting,"7,824",47,http://www.cityhouse.cn/default/forsalerank.html
39,成都,Chengdu,"8,205",39,http://www.cityhouse.cn/default/forsalerank.html
48,中山,Zhongshan,"7,750",48,http://www.cityhouse.cn/default/forsalerank.html
40,太原,Taiyuan,"8,167",40,http://www.cityhouse.cn/default/forsalerank.html
49,湖州,Huzhou,"7,749",49,http://www.cityhouse.cn/default/forsalerank.html
50,拉萨,Lhasa,"7,659",50,http://www.cityhouse.cn/default/forsalerank.html
51,海口,Seaport,"7,655",51,http://www.cityhouse.cn/default/forsalerank.html
61,天水,Tianshui,"7,114",61,http://www.cityhouse.cn/default/forsalerank.html
71,镇江,Zhenjiang,"6,653",71,http://www.cityhouse.cn/default/forsalerank.html
52,惠州,Huizhou,"7,645",52,http://www.cityhouse.cn/default/forsalerank.html
62,重庆,Chongqing,"7,008",62,http://www.cityhouse.cn/default/forsalerank.html
72,乌鲁木齐,Urumqi,"6,601",72,http://www.cityhouse.cn/default/forsalerank.html
53,哈尔滨,Harbin,"7,465",53,http://www.cityhouse.cn/default/forsalerank.html
63,三明,Sanming,"6,957",63,http://www.cityhouse.cn/default/forsalerank.html
73,长春,Changchun,"6,471",73,http://www.cityhouse.cn/default/forsalerank.html
54,嘉兴,Jiaxing,"7,411",54,http://www.cityhouse.cn/default/forsalerank.html
64,西安,Xi'an,"6,954",64,http://www.cityhouse.cn/default/forsalerank.html
74,日喀则,Shigatse,"6,405",74,http://www.cityhouse.cn/default/forsalerank.html
55,烟台,Yantai,"7,405",55,http://www.cityhouse.cn/default/forsalerank.html
65,宁德,Ningde,"6,838",65,http://www.cityhouse.cn/default/forsalerank.html
